"E/V","I/uA"
2.3660000E-01,-7.1160000E-01
2.3610000E-01,-3.2410000E-01
2.3550000E-01,-6.0000000E-01
2.3500000E-01,-3.1120000E-01
2.3450000E-01,-5.8720000E-01
2.3400000E-01,-3.3640000E-01
2.3350000E-01,-5.1170000E-01
2.3300000E-01,-3.0900000E-01
2.3250000E-01,-4.3860000E-01
2.3190000E-01,-4.8750000E-01
2.3140000E-01,-4.9970000E-01
2.3090000E-01,-8.1810000E-01
2.3040000E-01,-4.9320000E-01
2.2990000E-01,-8.4100000E-01
2.2940000E-01,-5.0800000E-01
2.2890000E-01,-7.4020000E-01
2.2840000E-01,-4.5250000E-01
2.2780000E-01,-6.4640000E-01
2.2730000E-01,-4.8590000E-01
2.2680000E-01,-5.1920000E-01
2.2630000E-01,-4.5260000E-01
2.2580000E-01,-4.6970000E-01
2.2530000E-01,-4.7720000E-01
2.2480000E-01,-4.3530000E-01
2.2420000E-01,-4.7100000E-01
2.2370000E-01,-3.4940000E-01
2.2320000E-01,-3.9650000E-01
2.2270000E-01,-4.2190000E-01
2.2220000E-01,-5.7140000E-01
2.2170000E-01,-3.5810000E-01
2.2120000E-01,-9.0520000E-01
2.2060000E-01,-3.7730000E-01
2.2010000E-01,-1.0342000E+00
2.1960000E-01,-3.4150000E-01
2.1910000E-01,-9.1280000E-01
2.1860000E-01,-3.4280000E-01
2.1810000E-01,-7.5860000E-01
2.1760000E-01,-3.1550000E-01
2.1710000E-01,-6.9130000E-01
2.1650000E-01,-3.3900000E-01
2.1600000E-01,-6.8810000E-01
2.1550000E-01,-3.4950000E-01
2.1500000E-01,-6.2130000E-01
2.1450000E-01,-3.0030000E-01
2.1400000E-01,-5.3910000E-01
2.1350000E-01,-3.2450000E-01
2.1290000E-01,-4.6840000E-01
2.1240000E-01,-3.8630000E-01
2.1190000E-01,-5.2060000E-01
2.1140000E-01,-7.2300000E-01
2.1090000E-01,-5.0300000E-01
2.1040000E-01,-8.9080000E-01
2.0990000E-01,-4.9390000E-01
2.0940000E-01,-8.0180000E-01
2.0880000E-01,-4.8240000E-01
2.0830000E-01,-6.8550000E-01
2.0780000E-01,-4.9290000E-01
2.0730000E-01,-6.0720000E-01
2.0680000E-01,-4.2180000E-01
2.0630000E-01,-4.4750000E-01
2.0580000E-01,-4.6150000E-01
2.0520000E-01,-4.1780000E-01
2.0470000E-01,-5.3770000E-01
2.0420000E-01,-4.3970000E-01
2.0370000E-01,-4.8250000E-01
2.0320000E-01,-3.5580000E-01
2.0270000E-01,-4.7070000E-01
